 Ticket ID,Artist / Event ,Event Type,Venue,Event Date,Purchase Date,Customer Region,Ticket Type,Price (UZS),Quantity, Payment,Status,Rating
TK-11302,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-29,Samarqand,VIP,477676,2,qr,yakunlangan,4.6
TK-11662,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-03-30,Namangan,Standart,169248,4,naqd,YAKUNLANGAN,4.5
TK-11517,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-01-25,Qashqadaryo,Fan,85532,4,naqd,yakunlangan,4.1
TK-11170,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-04-30,Namangan,Fan,81126,1,karta,yakunlangan,3.6
TK-11175,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-02-03,Xorazm,VIP,449382,4,naqd,yakunlangan,4.6
TK-10173,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,2026-05-03,2026-04-17,Farg'ona,VIP,474181,1,karta,YAKUNLANGAN,4.6
TK-10414,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-05-02,Buxoro,VIP,450670,2,qr,yakunlangan,5.0
TK-10539,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-03-17,Buxoro,Standart,139508,4,naqd,YAKUNLANGAN,3.9
TK-12075,Shaxlo Ismoilova,Konsert,Humo Arena,2026-04-19,2026-03-09,Xorazm,Standart,140986,1,qr,YAKUNLANGAN,4.7
TK-11190,Shaxlo Ismoilova,KONSERT,Humo Arena,2026-04-19,2026-04-07,Samarqand,VIP,432715,2,qr,YAKUNLANGAN,4.8
TK-12465,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-03-06,Xorazm,VIP,449 757 so'm,1,naqd,yakunlangan,4.9
TK-12071,Navruz Gala Shou,konsert,Humo Arena,21.03.2026,2026-02-17,Namangan,Fan,104331,1,karta,qaytarilgan,
TK-11225,Navruz Gala Shou,konsert,Humo Arena,2026-03-21,2026-02-07,Qashqadaryo,Standart,130917,1,karta,yakunlangan,4.5
TK-11393,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-03-19,Qashqadaryo,Fan,87145,2,karta,YAKUNLANGAN,3.9
TK-10834,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-03-05,Farg'ona,Standart,159100,3,karta,qaytarilgan,
TK-11476,Shaxlo Ismoilova,Konsert,Humo Arena,19.04.2026,2026-03-21,Buxoro,Fan,77572,3,qr,YAKUNLANGAN,3.9
TK-10170,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-03-14,Farg'ona,Standart,146974,1,qr,YAKUNLANGAN,3.6
TK-10254,SEVINCH MOMINOVA,Konsert,Humo Arena,2026-03-15,2026-02-08,Xorazm,Fan,102782,4,karta,yakunlangan,4.8
TK-11251,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,17.05.2026,2026-04-10,Toshkent,Fan,77 606 so'm,4,qr,yakunlangan,3.8
TK-10450,Jasur Umirov,KONSERT,Uzbekiston Konsert Zali,12.04.2026,2026-02-19,Buxoro,Standart,153111,2,karta,yakunlangan,3.9
TK-10251,SEVINCH MOMINOVA,Konsert ,Humo Arena,2026-03-15,2026-02-13,Namangan,Fan,67551,4,karta,YAKUNLANGAN,3.5
TK-11642,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-02-08,Andijon,Fan,103234,1,naqd,yakunlangan,3.5
TK-12348,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-01-29,Toshkent,Fan,85762,3,qr,yakunlangan,4.2
TK-10440,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-01-30,Namangan,Standart,138 727 so'm,1,qr,yakunlangan,4.9
TK-12023,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-07,Qashqadaryo,VIP,475069,2,qr,qaytarilgan,
TK-11313,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-04-17,Qashqadaryo,Fan,100404,4,naqd,YAKUNLANGAN,4.4
TK-10296,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-02-05,Xorazm,VIP,454897,3,naqd,qaytarilgan,
TK-11862,QXL Stand-Up Show,StendAp,Hysteria Club,26.04.2026,2026-04-15,Samarqand,Standart,160411,4,karta,yakunlangan,3.6
TK-10175,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,17.05.2026,2026-04-28,Buxoro,Standart,150506,1,qr,yakunlangan,3.6
TK-12457,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-04-09,Namangan,Standart,157742,1,karta,yakunlangan,3.9
TK-11087,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-04-01,Samarqand,Standart,178724,1,qr,yakunlangan,3.6
TK-10168,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-26,Buxoro,VIP,450 457 so'm,1,naqd,kutilmoqda,
TK-10657,Pakhtakor vs Lokomotiv,FUTBOL,Milliy Stadion,10.05.2026,2026-05-08,Namangan,Fan,69945,4,karta,QAYTARILGAN,
TK-10464,Navruz Gala Shou,konsert,Humo Arena,2026-03-21,2026-02-28,Buxoro,Standart,132453,2,naqd,YAKUNLANGAN,4.4
TK-12054,Pakhtakor vs Lokomotiv,futbol,Milliy Stadion,2026-05-10,2026-05-06,Samarqand,Standart,145321,2,qr,qaytarilgan,
TK-12491,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-04-11,Toshkent,VIP,439736,3,naqd,yakunlangan,4.8
TK-10841,Jasur Umirov,KONSERT,Uzbekiston Konsert Zali,12.04.2026,2026-03-28,Buxoro,Standart,158446,1,karta,yakunlangan,4.0
TK-11851,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-19,Farg'ona,Standart,151 848 so'm,1,naqd,yakunlangan,4.3
TK-10651,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-01,Farg'ona,Standart,173620,4,qr,qaytarilgan,
TK-11089,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,17.05.2026,2026-03-24,Namangan,Standart,137604,2,naqd,yakunlangan,4.8
TK-12231,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-01-23,Andijon,Fan,101004,2,karta,yakunlangan,4.8
TK-10544,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-01-26,Andijon,VIP,457847,2,qr,yakunlangan,4.4
TK-10298,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,12.04.2026,2026-03-13,Andijon,Fan,64057,3,karta,yakunlangan,4.2
TK-12356,QXL Stand-Up Show,StendAp,Hysteria Club,26.04.2026,2026-04-24,Qashqadaryo,Standart,169 000 so'm,3,karta,qaytarilgan,
TK-10620,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-02-23,Samarqand,VIP,439439,4,qr,kutilmoqda,
TK-10767,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,12.04.2026,2026-03-20,Farg'ona,Standart,171052,4,naqd,qaytarilgan,
TK-10482,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-02-17,Buxoro,Standart,151849,3,naqd,yakunlangan,4.3
TK-10422,QXL Stand-Up Show,StendAp,Hysteria Club,26.04.2026,2026-03-12,Xorazm,VIP,477375,2,karta,yakunlangan,4.2
TK-12024,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-02-18,Qashqadaryo,VIP,478853,3,naqd,yakunlangan,4.2
TK-11609,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-01-27,Buxoro,Standart,145 784 so'm,4,karta,yakunlangan,4.3
TK-10420,Shaxlo Ismoilova,Konsert,Humo Arena,19.04.2026,2026-03-04,Andijon,VIP,437814,3,karta,kutilmoqda,
TK-11322,Shaxlo Ismoilova,Konsert,Humo Arena,19.04.2026,2026-04-04,Farg'ona,Standart,153861,2,karta,yakunlangan,4.0
TK-11867,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-22,Xorazm,Fan,95033,3,qr,YAKUNLANGAN,3.6
TK-11229,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-01-22,Namangan,Standart,173009,3,naqd,qaytarilgan,
TK-10043,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-02,Xorazm,Fan,84958,1,naqd,yakunlangan,3.7
TK-11772,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-01-22,Toshkent,Standart,167018,1,karta,yakunlangan,4.5
TK-10151,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-04-13,Namangan,Standart,155770,2,naqd,YAKUNLANGAN,3.5
TK-12495,Jasur Umirov,Konsert ,Uzbekiston Konsert Zali,2026-04-12,2026-03-22,Buxoro,Fan,80947,4,naqd,qaytarilgan,
TK-10647,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-03-05,Qashqadaryo,Fan,80614,3,naqd,yakunlangan,3.7
TK-10211,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-03-10,Toshkent,VIP,452530,4,karta,yakunlangan,4.1
TK-12221,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-14,Samarqand,Fan,72678,3,qr,yakunlangan,4.2
TK-10874,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-03-10,Xorazm,VIP,462585,2,qr,YAKUNLANGAN,4.8
TK-11869,Pakhtakor vs Bunyodkor,futbol,Milliy Stadion,2026-04-05,2026-02-13,Farg'ona,Fan,107724,3,karta,yakunlangan,3.8
TK-11990,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-04-23,Samarqand,VIP,458 663 so'm,1,qr,qaytarilgan,
TK-11735,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,12.04.2026,2026-03-27,Samarqand,Fan,83 648 so'm,4,qr,YAKUNLANGAN,3.9
TK-12232,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-03-16,Xorazm,Standart,171 134 so'm,1,qr,yakunlangan,4.6
TK-11764,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-03-08,Toshkent,VIP,445675,4,qr,kutilmoqda,
TK-10707,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-01-23,Andijon,Fan,80522,4,qr,yakunlangan,4.5
TK-10521,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-02-03,Samarqand,Fan,103 045 so'm,2,naqd,YAKUNLANGAN,3.8
TK-12390,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,17.05.2026,2026-04-16,Andijon,Fan,64124,2,karta,yakunlangan,3.9
TK-11752,Muhabbat Shamayeva,KONSERT,Uzbekiston Konsert Zali,17.05.2026,2026-03-25,Xorazm,Standart,169210,3,karta,kutilmoqda,
TK-11379,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,2026-05-03,2026-04-06,Farg'ona,VIP,460572,1,karta,kutilmoqda,
TK-10582,Jasur Umirov,KONSERT,Uzbekiston Konsert Zali,2026-04-12,2026-04-08,Namangan,Standart,152302,4,naqd,yakunlangan,4.6
TK-10990,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-04-19,Xorazm,Standart,150237,3,naqd,yakunlangan,3.6
TK-11310,Shaxlo Ismoilova,KONSERT,Humo Arena,19.04.2026,2026-02-28,Namangan,Fan,63187,4,karta,yakunlangan,3.7
TK-12321,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-04-03,Andijon,Standart,144141,1,naqd,YAKUNLANGAN,4.3
TK-11760,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-22,Andijon,VIP,451494,2,qr,yakunlangan,4.6
TK-11610,sevinch mominova,Konsert,Humo Arena,2026-03-15,2026-03-01,Xorazm,VIP,462776,3,naqd,qaytarilgan,
TK-10650,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-14,Qashqadaryo,VIP,447113,2,naqd,YAKUNLANGAN,3.7
TK-10246,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-04,Farg'ona,VIP,457720,2,karta,yakunlangan,4.1
TK-10857,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-04-19,Qashqadaryo,Fan,108728,1,naqd,yakunlangan,4.1
TK-11985,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,2026-05-03,2026-03-13,Xorazm,VIP,464723,1,qr,YAKUNLANGAN,3.6
TK-11263,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-30,Farg'ona,VIP,466795,3,karta,YAKUNLANGAN,3.5
TK-11340,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,17.05.2026,2026-05-12,Xorazm,Standart,141061,3,naqd,YAKUNLANGAN,3.7
TK-11672,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-14,Qashqadaryo,Fan,104269,1,qr,yakunlangan,4.6
TK-11387,Ulug'bek Rahmatullayev,Konsert ,Humo Arena,22.03.2026,2026-02-08,Buxoro,VIP,461378,4,naqd,yakunlangan,4.9
TK-10601,Doniyor Otajonov,Konsert ,Uzbekiston Konsert Zali,03.05.2026,2026-04-21,Toshkent,Fan,71585,1,karta,YAKUNLANGAN,4.4
TK-10554,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-03-13,Toshkent,Standart,165 443 so'm,4,qr,yakunlangan,3.7
TK-11213,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-02-11,Qashqadaryo,VIP,455653,3,karta,YAKUNLANGAN,4.6
TK-11325,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,10.05.2026,2026-03-13,Xorazm,VIP,465 194 so'm,1,qr,YAKUNLANGAN,3.5
TK-12034,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-04-16,Samarqand,Standart,168820,3,karta,yakunlangan,4.4
TK-10670,Pakhtakor vs Lokomotiv,FUTBOL,Milliy Stadion,10.05.2026,2026-03-12,Buxoro,Fan,81616,3,karta,YAKUNLANGAN,4.8
TK-12073,Shaxlo Ismoilova,Konsert,Humo Arena,2026-04-19,2026-04-01,Samarqand,Fan,99 035 so'm,4,naqd,QAYTARILGAN,
TK-11601,Sevinch Mominova,Konsert ,Humo Arena,15.03.2026,2026-01-22,Namangan,Fan,92757,4,qr,yakunlangan,3.6
TK-11192,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,2026-05-03,2026-03-24,Buxoro,Fan,61290,1,karta,yakunlangan,3.8
TK-12173,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-03-22,Xorazm,Standart,170304,1,naqd,qaytarilgan,
TK-10654,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-05-01,Samarqand,Standart,132021,-4,naqd,qaytarilgan,
TK-11815,Doniyor Otajonov,Konsert,Uzbekiston Konsert Zali,03.05.2026,2026-04-24,Xorazm,Fan,81773,3,naqd,KUTILMOQDA,
TK-11530,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-03-03,Andijon,VIP,476558,4,karta,yakunlangan,5.0
TK-11406,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-03-09,Qashqadaryo,Fan,104912,2,naqd,yakunlangan,5.0
TK-11186,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-02-27,Samarqand,VIP,431860,1,qr,YAKUNLANGAN,3.6
TK-10829,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-02-05,Qashqadaryo,VIP,476539,3,qr,yakunlangan,3.7
TK-11165,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-02-25,Xorazm,VIP,431914,1,karta,YAKUNLANGAN,4.6
TK-10495,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-03-13,Namangan,Fan,106060,4,naqd,QAYTARILGAN,
TK-11080,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-11,Namangan,Fan,68665,3,naqd,yakunlangan,3.5
TK-11592,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-03-03,Namangan,Standart,135852,2,naqd,yakunlangan,3.8
TK-10705,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-02-26,Samarqand,Fan,100769,2,qr,QAYTARILGAN,
TK-10093,Sevinch Mominova,Konsert,Humo Arena,15.03.2026,2026-03-01,Namangan,VIP,453864,2,karta,yakunlangan,4.3
TK-11556,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-01-21,Buxoro,Standart,131697,3,naqd,kutilmoqda,
TK-10282,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-04-11,Toshkent,Fan,89648,1,karta,YAKUNLANGAN,3.6
TK-10748,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-04-15,Toshkent,VIP,454 855 so'm,1,karta,YAKUNLANGAN,4.5
TK-10965,Shaxlo Ismoilova,Konsert,Humo Arena,19.04.2026,2026-02-21,Buxoro,Fan,109338,2,qr,yakunlangan,4.1
TK-10662,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,12.04.2026,2026-03-29,Farg'ona,Standart,171917,4,naqd,yakunlangan,4.6
TK-11788,Doniyor Otajonov,konsert,Uzbekiston Konsert Zali,2026-05-03,2026-04-09,Andijon,Fan,95 480 so'm,2,naqd,YAKUNLANGAN,3.7
TK-10233,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-01-26,Qashqadaryo,VIP,468908,1,qr,yakunlangan,4.2
TK-11061,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-02-13,Xorazm,Fan,96949,3,naqd,yakunlangan,3.9
TK-10596,Sevinch Mo'minova,Konsert,Humo Arena,2026-03-15,2026-03-10,Andijon,Standart,145167,3,karta,kutilmoqda,
TK-12453,Jasur Umirov,konsert,Uzbekiston Konsert Zali,12.04.2026,2026-03-15,Andijon,Standart,179465,4,naqd,yakunlangan,4.7
TK-10643,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-04-05,Farg'ona,VIP,455874,1,naqd,yakunlangan,4.9
TK-12114,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-02-23,Andijon,Fan,81432,1,naqd,yakunlangan,4.3
TK-11177,Ulug'bek Rahmatullayev,konsert,Humo Arena,2026-03-22,2026-03-19,Xorazm,Standart,156 804 so'm,2,qr,yakunlangan,4.7
TK-10532,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-03-26,Xorazm,Standart,154623,3,karta,yakunlangan,3.7
TK-10867,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-03-19,Buxoro,VIP,479117,4,karta,YAKUNLANGAN,4.4
TK-11468,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-04-24,Qashqadaryo,VIP,451889,2,karta,qaytarilgan,
TK-12459,Pakhtakor vs Bunyodkor,futbol,Milliy Stadion,2026-04-05,2026-02-08,Buxoro,VIP,478260,3,karta,YAKUNLANGAN,3.8
TK-10443,Jasur Umirov,Konsert,Uzbekiston Konsert Zali,2026-04-12,2026-03-17,Namangan,Fan,75351,1,qr,YAKUNLANGAN,4.8
TK-11266,QXL Stand-Up Show,StendAp,Hysteria Club,2026-04-26,2026-04-06,Qashqadaryo,Standart,151211,2,karta,QAYTARILGAN,
TK-10115,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-03-13,Farg'ona,Fan,85754,3,karta,qaytarilgan,
TK-10821,Navruz Gala Shou,Konsert,Humo Arena,2026-03-21,2026-02-15,Qashqadaryo,VIP,459478,4,qr,yakunlangan,3.6
TK-12039,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-03-11,Andijon,Standart,165527,1,qr,KUTILMOQDA,
TK-10605,Sevinch Mominova,KONSERT,Humo Arena,2026-03-15,2026-03-06,Xorazm,Fan,67 302 so'm,4,karta,yakunlangan,3.8
TK-10178,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-24,Andijon,Standart,168 001 so'm,1,qr,YAKUNLANGAN,4.9
TK-10678,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-03-11,Qashqadaryo,Standart,154145,3,qr,yakunlangan,4.6
TK-10368,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-25,Farg'ona,Standart,135139,4,naqd,yakunlangan,3.9
TK-10194,Sevinch Mo'minova,Konsert,Humo Arena,2026-03-15,2026-01-29,Farg'ona,Fan,102301,3,karta,YAKUNLANGAN,4.8
TK-10916,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-05-14,Andijon,Fan,99341,4,qr,yakunlangan,3.9
TK-11503,Doniyor Otajonov,Konsert ,Uzbekiston Konsert Zali,2026-05-03,2026-03-26,Buxoro,Fan,77 700 so'm,1,naqd,QAYTARILGAN,
TK-10949,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,2026-04-05,2026-03-26,Buxoro,VIP,443 071 so'm,4,naqd,YAKUNLANGAN,4.2
TK-11745,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-05-04,Namangan,Standart,152708,2,naqd,yakunlangan,5.0
TK-11790,Shaxlo Ismoilova,Konsert ,Humo Arena,2026-04-19,2026-03-24,Qashqadaryo,Fan,88053,4,naqd,yakunlangan,4.3
TK-12113,Sevinch Mominova,Konsert,Humo Arena,2026-03-15,2026-01-21,Xorazm,Fan,104720,3,qr,YAKUNLANGAN,4.7
TK-10912,Muhabbat Shamayeva,Konsert,Uzbekiston Konsert Zali,2026-05-17,2026-05-06,Farg'ona,Standart,150430,3,naqd,yakunlangan,4.4
TK-11151,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-27,Namangan,Standart,148220,1,qr,YAKUNLANGAN,4.7
TK-11741,Shaxlo Ismoilova,Konsert,Humo Arena,2026-04-19,2026-03-25,Samarqand,Standart,144494,1,karta,yakunlangan,4.8
TK-10617,Navruz Gala Shou,Konsert,Humo Arena,21.03.2026,2026-02-15,Namangan,VIP,436 086 so'm,4,naqd,yakunlangan,4.2
TK-11905,Pakhtakor vs Bunyodkor,Futbol,Milliy Stadion,05.04.2026,2026-03-18,Buxoro,Fan,94135,1,qr,yakunlangan,5.0
TK-11337,Ulug'bek Rahmatullayev,Konsert,Humo Arena,22.03.2026,2026-03-15,Buxoro,Standart,155023,3,karta,yakunlangan,4.8
TK-12149,Pakhtakor vs Lokomotiv,Futbol,Milliy Stadion,2026-05-10,2026-03-11,Namangan,VIP,441809,3,naqd,kutilmoqda,
TK-11105,Pakhtakor vs Lokomotiv,futbol,Milliy Stadion,10.05.2026,2026-04-21,Andijon,VIP,460198,4,karta,YAKUNLANGAN,4.0
TK-11614,Ulug'bek Rahmatullayev,Konsert ,Humo Arena,2026-03-22,2026-02-08,Toshkent,Fan,68712,3,qr,YAKUNLANGAN,4.7
TK-12414,Navruz Gala Shou,konsert,Humo Arena,2026-03-21,2026-02-10,Namangan,Fan,61747,4,karta,yakunlangan,4.2
TK-10239,Ulug'bek Rahmatullayev,Konsert,Humo Arena,2026-03-22,2026-01-31,Samarqand,Fan,108132,4,karta,yakunlangan,5.0
TK-11321,Pakhtakor vs Lokomotiv,futbol,Milliy Stadion,2026-05-10,2026-03-12,Qashqadaryo,Fan,109171,3,qr,yakunlangan,4.4
