ticket_id,artist_event,event_type,venue,event_date,purchase_date,customer_region,ticket_type,price_uzs,quantity,payment,status,rating,revenue
TK-11619,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-18,samarqand,fan,85744,4,karta,yakunlangan,4.3,342976
TK-10188,navruz gala shou,konsert,humo arena,2026-03-21,2026-03-17,samarqand,fan,106034,3,naqd,yakunlangan,4.0,318102
TK-10212,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-03-14,buxoro,fan,106645,2,qr,yakunlangan,3.7,213290
TK-11302,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-29,samarqand,vip,477676,2,qr,yakunlangan,4.6,955352
TK-11662,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-03-30,namangan,standart,169248,4,naqd,yakunlangan,4.5,676992
TK-11517,navruz gala shou,konsert,humo arena,2026-03-21,2026-01-25,qashqadaryo,fan,85532,4,naqd,yakunlangan,4.1,342128
TK-11170,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-04-30,namangan,fan,81126,1,karta,yakunlangan,3.6,81126
TK-11175,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-03,xorazm,vip,449382,4,naqd,yakunlangan,4.6,1797528
TK-10173,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-04-17,farg'ona,vip,474181,1,karta,yakunlangan,4.6,474181
TK-10414,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-05-02,buxoro,vip,450670,2,qr,yakunlangan,5.0,901340
TK-10539,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-17,buxoro,standart,139508,4,naqd,yakunlangan,3.9,558032
TK-12075,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-03-09,xorazm,standart,140986,1,qr,yakunlangan,4.7,140986
TK-11190,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-04-07,samarqand,vip,432715,2,qr,yakunlangan,4.8,865430
TK-12465,navruz gala shou,konsert,humo arena,21.03.2026,2026-03-06,xorazm,vip,449757,1,naqd,yakunlangan,4.9,449757
TK-12071,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-17,namangan,fan,104331,1,karta,qaytarilgan,,104331
TK-11225,navruz gala shou,konsert,humo arena,2026-03-21,2026-02-07,qashqadaryo,standart,130917,1,karta,yakunlangan,4.5,130917
TK-11393,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-03-19,qashqadaryo,fan,87145,2,karta,yakunlangan,3.9,174290
TK-10834,navruz gala shou,konsert,humo arena,2026-03-21,2026-03-05,farg'ona,standart,159100,3,karta,qaytarilgan,,477300
TK-11476,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-03-21,buxoro,fan,77572,3,qr,yakunlangan,3.9,232716
TK-10170,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-14,farg'ona,standart,146974,1,qr,yakunlangan,3.6,146974
TK-10254,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-08,xorazm,fan,102782,4,karta,yakunlangan,4.8,411128
TK-11251,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-04-10,toshkent,fan,77606,4,qr,yakunlangan,3.8,310424
TK-10450,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-02-19,buxoro,standart,153111,2,karta,yakunlangan,3.9,306222
TK-10251,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-13,namangan,fan,67551,4,karta,yakunlangan,3.5,270204
TK-11642,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-02-08,andijon,fan,103234,1,naqd,yakunlangan,3.5,103234
TK-12348,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-01-29,toshkent,fan,85762,3,qr,yakunlangan,4.2,257286
TK-10440,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-01-30,namangan,standart,138727,1,qr,yakunlangan,4.9,138727
TK-12023,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-07,qashqadaryo,vip,475069,2,qr,qaytarilgan,,950138
TK-11313,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-04-17,qashqadaryo,fan,100404,4,naqd,yakunlangan,4.4,401616
TK-10296,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-05,xorazm,vip,454897,3,naqd,qaytarilgan,,1364691
TK-11862,qxl stand-up show,stendap,hysteria club,26.04.2026,2026-04-15,samarqand,standart,160411,4,karta,yakunlangan,3.6,641644
TK-10175,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-04-28,buxoro,standart,150506,1,qr,yakunlangan,3.6,150506
TK-12457,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-04-09,namangan,standart,157742,1,karta,yakunlangan,3.9,157742
TK-11087,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-04-01,samarqand,standart,178724,1,qr,yakunlangan,3.6,178724
TK-10168,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-26,buxoro,vip,450457,1,naqd,kutilmoqda,,450457
TK-10657,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-05-08,namangan,fan,69945,4,karta,qaytarilgan,,279780
TK-10464,navruz gala shou,konsert,humo arena,2026-03-21,2026-02-28,buxoro,standart,132453,2,naqd,yakunlangan,4.4,264906
TK-12054,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-05-06,samarqand,standart,145321,2,qr,qaytarilgan,,290642
TK-12491,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-04-11,toshkent,vip,439736,3,naqd,yakunlangan,4.8,1319208
TK-10841,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-28,buxoro,standart,158446,1,karta,yakunlangan,4.0,158446
TK-11851,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-19,farg'ona,standart,151848,1,naqd,yakunlangan,4.3,151848
TK-10651,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-01,farg'ona,standart,173620,4,qr,qaytarilgan,,694480
TK-11089,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-03-24,namangan,standart,137604,2,naqd,yakunlangan,4.8,275208
TK-12231,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-01-23,andijon,fan,101004,2,karta,yakunlangan,4.8,202008
TK-10544,navruz gala shou,konsert,humo arena,2026-03-21,2026-01-26,andijon,vip,457847,2,qr,yakunlangan,4.4,915694
TK-10298,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-13,andijon,fan,64057,3,karta,yakunlangan,4.2,192171
TK-12356,qxl stand-up show,stendap,hysteria club,26.04.2026,2026-04-24,qashqadaryo,standart,169000,3,karta,qaytarilgan,,507000
TK-10620,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-23,samarqand,vip,439439,4,qr,kutilmoqda,,1757756
TK-10767,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-20,farg'ona,standart,171052,4,naqd,qaytarilgan,,684208
TK-10482,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-02-17,buxoro,standart,151849,3,naqd,yakunlangan,4.3,455547
TK-10422,qxl stand-up show,stendap,hysteria club,26.04.2026,2026-03-12,xorazm,vip,477375,2,karta,yakunlangan,4.2,954750
TK-12024,navruz gala shou,konsert,humo arena,2026-03-21,2026-02-18,qashqadaryo,vip,478853,3,naqd,yakunlangan,4.2,1436559
TK-11609,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-01-27,buxoro,standart,145784,4,karta,yakunlangan,4.3,583136
TK-10420,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-03-04,andijon,vip,437814,3,karta,kutilmoqda,,1313442
TK-11322,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-04-04,farg'ona,standart,153861,2,karta,yakunlangan,4.0,307722
TK-11867,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-22,xorazm,fan,95033,3,qr,yakunlangan,3.6,285099
TK-11229,navruz gala shou,konsert,humo arena,2026-03-21,2026-01-22,namangan,standart,173009,3,naqd,qaytarilgan,,519027
TK-10043,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-02,xorazm,fan,84958,1,naqd,yakunlangan,3.7,84958
TK-11772,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-01-22,toshkent,standart,167018,1,karta,yakunlangan,4.5,167018
TK-10151,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-04-13,namangan,standart,155770,2,naqd,yakunlangan,3.5,311540
TK-12495,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-22,buxoro,fan,80947,4,naqd,qaytarilgan,,323788
TK-10647,navruz gala shou,konsert,humo arena,2026-03-21,2026-03-05,qashqadaryo,fan,80614,3,naqd,yakunlangan,3.7,241842
TK-10211,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-03-10,toshkent,vip,452530,4,karta,yakunlangan,4.1,1810120
TK-12221,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-14,samarqand,fan,72678,3,qr,yakunlangan,4.2,218034
TK-10874,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-10,xorazm,vip,462585,2,qr,yakunlangan,4.8,925170
TK-11869,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-02-13,farg'ona,fan,107724,3,karta,yakunlangan,3.8,323172
TK-11990,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-04-23,samarqand,vip,458663,1,qr,qaytarilgan,,458663
TK-11735,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-27,samarqand,fan,83648,4,qr,yakunlangan,3.9,334592
TK-12232,navruz gala shou,konsert,humo arena,2026-03-21,2026-03-16,xorazm,standart,171134,1,qr,yakunlangan,4.6,171134
TK-11764,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-03-08,toshkent,vip,445675,4,qr,kutilmoqda,,1782700
TK-10707,navruz gala shou,konsert,humo arena,21.03.2026,2026-01-23,andijon,fan,80522,4,qr,yakunlangan,4.5,322088
TK-10521,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-02-03,samarqand,fan,103045,2,naqd,yakunlangan,3.8,206090
TK-12390,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-04-16,andijon,fan,64124,2,karta,yakunlangan,3.9,128248
TK-11752,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-03-25,xorazm,standart,169210,3,karta,kutilmoqda,,507630
TK-11379,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-04-06,farg'ona,vip,460572,1,karta,kutilmoqda,,460572
TK-10582,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-04-08,namangan,standart,152302,4,naqd,yakunlangan,4.6,609208
TK-10990,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-19,xorazm,standart,150237,3,naqd,yakunlangan,3.6,450711
TK-11310,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-02-28,namangan,fan,63187,4,karta,yakunlangan,3.7,252748
TK-12321,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-04-03,andijon,standart,144141,1,naqd,yakunlangan,4.3,144141
TK-11760,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-22,andijon,vip,451494,2,qr,yakunlangan,4.6,902988
TK-11610,sevinch mominova,konsert,humo arena,2026-03-15,2026-03-01,xorazm,vip,462776,3,naqd,qaytarilgan,,1388328
TK-10650,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-14,qashqadaryo,vip,447113,2,naqd,yakunlangan,3.7,894226
TK-10246,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-04,farg'ona,vip,457720,2,karta,yakunlangan,4.1,915440
TK-10857,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-04-19,qashqadaryo,fan,108728,1,naqd,yakunlangan,4.1,108728
TK-11985,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-03-13,xorazm,vip,464723,1,qr,yakunlangan,3.6,464723
TK-11263,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-30,farg'ona,vip,466795,3,karta,yakunlangan,3.5,1400385
TK-11340,muhabbat shamayeva,konsert,uzbekiston konsert zali,17.05.2026,2026-05-12,xorazm,standart,141061,3,naqd,yakunlangan,3.7,423183
TK-11672,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-14,qashqadaryo,fan,104269,1,qr,yakunlangan,4.6,104269
TK-11387,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-02-08,buxoro,vip,461378,4,naqd,yakunlangan,4.9,1845512
TK-10601,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-04-21,toshkent,fan,71585,1,karta,yakunlangan,4.4,71585
TK-10554,navruz gala shou,konsert,humo arena,21.03.2026,2026-03-13,toshkent,standart,165443,4,qr,yakunlangan,3.7,661772
TK-11213,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-02-11,qashqadaryo,vip,455653,3,karta,yakunlangan,4.6,1366959
TK-11325,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-03-13,xorazm,vip,465194,1,qr,yakunlangan,3.5,465194
TK-12034,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-16,samarqand,standart,168820,3,karta,yakunlangan,4.4,506460
TK-10670,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-03-12,buxoro,fan,81616,3,karta,yakunlangan,4.8,244848
TK-12073,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-04-01,samarqand,fan,99035,4,naqd,qaytarilgan,,396140
TK-11601,sevinch mominova,konsert,humo arena,15.03.2026,2026-01-22,namangan,fan,92757,4,qr,yakunlangan,3.6,371028
TK-11192,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-03-24,buxoro,fan,61290,1,karta,yakunlangan,3.8,61290
TK-12173,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-22,xorazm,standart,170304,1,naqd,qaytarilgan,,170304
TK-10654,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-05-01,samarqand,standart,132021,-4,naqd,qaytarilgan,,-528084
TK-11815,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-04-24,xorazm,fan,81773,3,naqd,kutilmoqda,,245319
TK-11530,navruz gala shou,konsert,humo arena,2026-03-21,2026-03-03,andijon,vip,476558,4,karta,yakunlangan,5.0,1906232
TK-11406,navruz gala shou,konsert,humo arena,21.03.2026,2026-03-09,qashqadaryo,fan,104912,2,naqd,yakunlangan,5.0,209824
TK-11186,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-27,samarqand,vip,431860,1,qr,yakunlangan,3.6,431860
TK-10829,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-02-05,qashqadaryo,vip,476539,3,qr,yakunlangan,3.7,1429617
TK-11165,sevinch mominova,konsert,humo arena,2026-03-15,2026-02-25,xorazm,vip,431914,1,karta,yakunlangan,4.6,431914
TK-10495,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-13,namangan,fan,106060,4,naqd,qaytarilgan,,424240
TK-11080,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-11,namangan,fan,68665,3,naqd,yakunlangan,3.5,205995
TK-11592,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-03-03,namangan,standart,135852,2,naqd,yakunlangan,3.8,271704
TK-10705,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-02-26,samarqand,fan,100769,2,qr,qaytarilgan,,201538
TK-10093,sevinch mominova,konsert,humo arena,15.03.2026,2026-03-01,namangan,vip,453864,2,karta,yakunlangan,4.3,907728
TK-11556,navruz gala shou,konsert,humo arena,21.03.2026,2026-01-21,buxoro,standart,131697,3,naqd,kutilmoqda,,395091
TK-10282,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-04-11,toshkent,fan,89648,1,karta,yakunlangan,3.6,89648
TK-10748,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-15,toshkent,vip,454855,1,karta,yakunlangan,4.5,454855
TK-10965,shaxlo ismoilova,konsert,humo arena,19.04.2026,2026-02-21,buxoro,fan,109338,2,qr,yakunlangan,4.1,218676
TK-10662,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-29,farg'ona,standart,171917,4,naqd,yakunlangan,4.6,687668
TK-11788,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-04-09,andijon,fan,95480,2,naqd,yakunlangan,3.7,190960
TK-10233,navruz gala shou,konsert,humo arena,2026-03-21,2026-01-26,qashqadaryo,vip,468908,1,qr,yakunlangan,4.2,468908
TK-11061,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-02-13,xorazm,fan,96949,3,naqd,yakunlangan,3.9,290847
TK-10596,sevinch mominova,konsert,humo arena,2026-03-15,2026-03-10,andijon,standart,145167,3,karta,kutilmoqda,,435501
TK-12453,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-15,andijon,standart,179465,4,naqd,yakunlangan,4.7,717860
TK-10643,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-04-05,farg'ona,vip,455874,1,naqd,yakunlangan,4.9,455874
TK-12114,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-02-23,andijon,fan,81432,1,naqd,yakunlangan,4.3,81432
TK-11177,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-03-19,xorazm,standart,156804,2,qr,yakunlangan,4.7,313608
TK-10532,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-26,xorazm,standart,154623,3,karta,yakunlangan,3.7,463869
TK-10867,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-03-19,buxoro,vip,479117,4,karta,yakunlangan,4.4,1916468
TK-11468,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-24,qashqadaryo,vip,451889,2,karta,qaytarilgan,,903778
TK-12459,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-02-08,buxoro,vip,478260,3,karta,yakunlangan,3.8,1434780
TK-10443,jasur umirov,konsert,uzbekiston konsert zali,2026-04-12,2026-03-17,namangan,fan,75351,1,qr,yakunlangan,4.8,75351
TK-11266,qxl stand-up show,stendap,hysteria club,2026-04-26,2026-04-06,qashqadaryo,standart,151211,2,karta,qaytarilgan,,302422
TK-10115,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-03-13,farg'ona,fan,85754,3,karta,qaytarilgan,,257262
TK-10821,navruz gala shou,konsert,humo arena,2026-03-21,2026-02-15,qashqadaryo,vip,459478,4,qr,yakunlangan,3.6,1837912
TK-12039,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-03-11,andijon,standart,165527,1,qr,kutilmoqda,,165527
TK-10605,sevinch mominova,konsert,humo arena,2026-03-15,2026-03-06,xorazm,fan,67302,4,karta,yakunlangan,3.8,269208
TK-10178,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-24,andijon,standart,168001,1,qr,yakunlangan,4.9,168001
TK-10678,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-03-11,qashqadaryo,standart,154145,3,qr,yakunlangan,4.6,462435
TK-10368,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-25,farg'ona,standart,135139,4,naqd,yakunlangan,3.9,540556
TK-10194,sevinch mominova,konsert,humo arena,2026-03-15,2026-01-29,farg'ona,fan,102301,3,karta,yakunlangan,4.8,306903
TK-10916,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-05-14,andijon,fan,99341,4,qr,yakunlangan,3.9,397364
TK-11503,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-03-26,buxoro,fan,77700,1,naqd,qaytarilgan,,77700
TK-10949,pakhtakor vs bunyodkor,futbol,milliy stadion,2026-04-05,2026-03-26,buxoro,vip,443071,4,naqd,yakunlangan,4.2,1772284
TK-11745,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-05-04,namangan,standart,152708,2,naqd,yakunlangan,5.0,305416
TK-11790,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-03-24,qashqadaryo,fan,88053,4,naqd,yakunlangan,4.3,352212
TK-12113,sevinch mominova,konsert,humo arena,2026-03-15,2026-01-21,xorazm,fan,104720,3,qr,yakunlangan,4.7,314160
TK-10912,muhabbat shamayeva,konsert,uzbekiston konsert zali,2026-05-17,2026-05-06,farg'ona,standart,150430,3,naqd,yakunlangan,4.4,451290
TK-11151,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-27,namangan,standart,148220,1,qr,yakunlangan,4.7,148220
TK-11741,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-03-25,samarqand,standart,144494,1,karta,yakunlangan,4.8,144494
TK-10617,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-15,namangan,vip,436086,4,naqd,yakunlangan,4.2,1744344
TK-11905,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-18,buxoro,fan,94135,1,qr,yakunlangan,5.0,94135
TK-11337,ulugbek rahmatullayev,konsert,humo arena,22.03.2026,2026-03-15,buxoro,standart,155023,3,karta,yakunlangan,4.8,465069
TK-12149,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-03-11,namangan,vip,441809,3,naqd,kutilmoqda,,1325427
TK-11105,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-04-21,andijon,vip,460198,4,karta,yakunlangan,4.0,1840792
TK-11614,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-02-08,toshkent,fan,68712,3,qr,yakunlangan,4.7,206136
TK-12414,navruz gala shou,konsert,humo arena,2026-03-21,2026-02-10,namangan,fan,61747,4,karta,yakunlangan,4.2,246988
TK-10239,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-01-31,samarqand,fan,108132,4,karta,yakunlangan,5.0,432528
TK-11321,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-03-12,qashqadaryo,fan,109171,3,qr,yakunlangan,4.4,327513
TK-10410,pakhtakor vs lokomotiv,futbol,milliy stadion,10.05.2026,2026-03-12,qashqadaryo,fan,90121,3,qr,yakunlangan,3.9,270363
TK-10111,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-04-05,buxoro,vip,472399,3,naqd,yakunlangan,4.9,1417197
TK-11847,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-24,farg'ona,standart,162568,2,karta,yakunlangan,4.8,325136
TK-11261,sevinch mominova,konsert,humo arena,15.03.2026,2026-01-26,farg'ona,fan,92445,3,karta,yakunlangan,3.7,277335
TK-11718,qxl stand-up show,stendap,hysteria club,26.04.2026,2026-03-23,xorazm,vip,449914,1,qr,yakunlangan,3.9,449914
TK-11200,navruz gala shou,konsert,humo arena,21.03.2026,2026-01-27,samarqand,standart,164593,1,naqd,yakunlangan,4.6,164593
TK-10530,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-03-01,andijon,vip,471793,3,karta,yakunlangan,5.0,1415379
TK-10196,pakhtakor vs lokomotiv,futbol,milliy stadion,2026-05-10,2026-04-04,namangan,fan,96926,2,naqd,yakunlangan,4.6,193852
TK-11689,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-20,buxoro,standart,147153,2,karta,kutilmoqda,,294306
TK-10621,ulugbek rahmatullayev,konsert,humo arena,2026-03-22,2026-02-11,xorazm,fan,75633,3,karta,yakunlangan,4.6,226899
TK-12058,doniyor otajonov,konsert,uzbekiston konsert zali,03.05.2026,2026-03-04,farg'ona,standart,166334,1,karta,yakunlangan,4.9,166334
TK-11304,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-08,toshkent,standart,140871,4,qr,yakunlangan,4.0,563484
TK-11370,jasur umirov,konsert,uzbekiston konsert zali,12.04.2026,2026-03-10,buxoro,vip,455713,4,qr,yakunlangan,4.4,1822852
TK-12254,pakhtakor vs bunyodkor,futbol,milliy stadion,05.04.2026,2026-03-11,namangan,fan,104621,1,karta,yakunlangan,3.8,104621
TK-11593,shaxlo ismoilova,konsert,humo arena,2026-04-19,2026-03-06,namangan,vip,457116,3,karta,qaytarilgan,,1371348
TK-12171,navruz gala shou,konsert,humo arena,21.03.2026,2026-02-04,samarqand,vip,434927,4,karta,qaytarilgan,,1739708
TK-12003,doniyor otajonov,konsert,uzbekiston konsert zali,2026-05-03,2026-03-06,samarqand,fan,63523,3,naqd,kutilmoqda,,190569
